MTS,volume,close,high,low,open
2019/3/23 8:00,1194606.714,0.2085,0.2087,0.1493,0.1544
2019/3/24 8:00,658362.9976,0.1886,0.2199,0.172,0.2085
2019/3/25 8:00,975525.176,0.1721,0.1937,0.1588,0.1887
2019/3/26 8:00,196438.582,0.1759,0.1759,0.155,0.1721
2019/3/27 8:00,91281.95351,0.1826,0.1826,0.166,0.176
2019/3/28 8:00,368589.9813,0.1957,0.208,0.1849,0.1852
2019/3/29 8:00,271986.9514,0.1909,0.1996,0.1838,0.1928
2019/3/30 8:00,257797.2248,0.1813,0.194,0.1754,0.1915
2019/3/31 8:00,182632.2283,0.1899,0.1966,0.1765,0.1793
2019/4/1 8:00,241252.3924,0.1885,0.1965,0.1797,0.1899
2019/4/2 8:00,378635.1646,0.2011,0.2013,0.1815,0.1845
2019/4/3 8:00,381616.2847,0.1999,0.2293,0.1897,0.2008
2019/4/4 8:00,209211.9386,0.2018,0.2156,0.1952,0.2
2019/4/5 8:00,192437.585,0.2232,0.2286,0.2019,0.202
2019/4/6 8:00,195182.1154,0.242,0.2433,0.2159,0.2192
2019/4/7 8:00,521296.9874,0.2632,0.2798,0.2416,0.242
2019/4/8 8:00,744475.3812,0.2577,0.2938,0.2352,0.2629
2019/4/9 8:00,349885.0035,0.268,0.275,0.2318,0.2577
2019/4/10 8:00,394140.9482,0.2518,0.2751,0.2491,0.268
2019/4/11 8:00,572844.7808,0.27,0.2922,0.24,0.2546
2019/4/12 8:00,362214.2227,0.2756,0.2852,0.2508,0.2706
2019/4/13 8:00,277089.4035,0.2631,0.2845,0.25,0.2795
2019/4/14 8:00,69174.41812,0.2696,0.2726,0.2621,0.265
2019/4/15 8:00,118661.8031,0.2533,0.2789,0.2524,0.2696
2019/4/16 8:00,183955.9058,0.2452,0.2617,0.2353,0.2534
2019/4/17 8:00,142081.2878,0.252,0.2616,0.241,0.2493
2019/4/18 8:00,95459.2037,0.2567,0.2585,0.2501,0.2528
2019/4/19 8:00,172287.66,0.2512,0.2569,0.2358,0.2567
2019/4/20 8:00,115351.1965,0.2501,0.2531,0.2451,0.25
2019/4/21 8:00,243394.5411,0.2381,0.2501,0.226,0.2501
2019/4/22 8:00,150302.8904,0.241,0.2473,0.222,0.2431
2019/4/23 8:00,354630.3331,0.2271,0.2412,0.222,0.2386
2019/4/24 8:00,377206.8802,0.1925,0.229,0.1853,0.2272
2019/4/25 8:00,420254.1084,0.2029,0.2365,0.1818,0.1925
2019/4/26 8:00,346912.154,0.2089,0.24,0.1989,0.2009
2019/4/27 8:00,159724.0157,0.2257,0.2293,0.2061,0.2071
2019/4/28 8:00,281395.5914,0.2325,0.2409,0.225,0.2256
2019/4/29 8:00,160998.1049,0.2391,0.2469,0.2275,0.2353
2019/4/30 8:00,171189.4375,0.2631,0.27,0.2365,0.2365
2019/5/1 8:00,238848.9891,0.2576,0.28,0.2502,0.2678
2019/5/2 8:00,67200.90275,0.2554,0.2587,0.2502,0.2529
2019/5/3 8:00,148815.5136,0.2705,0.278,0.2517,0.2545
2019/5/4 8:00,303972.805,0.305,0.3205,0.265,0.2715
2019/5/5 8:00,461159.8854,0.3461,0.3558,0.31,0.31
2019/5/6 8:00,402848.1722,0.3315,0.355,0.2942,0.3423
2019/5/7 8:00,889951.2347,0.41,0.4571,0.3315,0.3315
2019/5/8 8:00,2444000.555,0.5067,0.5882,0.385,0.4059
2019/5/9 8:00,1928352.414,0.663,0.6636,0.4757,0.5066
2019/5/10 8:00,4306507.342,0.6052,0.8235,0.53,0.6637
2019/5/11 8:00,2453543.062,0.5079,0.6339,0.4622,0.6069
2019/5/12 8:00,1670349.187,0.6079,0.625,0.5,0.5094
2019/5/13 8:00,947102.782,0.5685,0.62,0.5403,0.6079
2019/5/14 8:00,846802.4489,0.5266,0.5782,0.5147,0.5661
2019/5/15 8:00,960192.0368,0.5544,0.5808,0.5165,0.5266
2019/5/16 8:00,1396631.782,0.5211,0.5589,0.4705,0.5581
2019/5/17 8:00,2147257.294,0.5719,0.6764,0.461,0.5211
2019/5/18 8:00,478572.9583,0.6,0.6288,0.5676,0.571
2019/5/19 8:00,494767.7219,0.6247,0.647,0.59,0.6001
2019/5/20 8:00,567039.8526,0.5709,0.6245,0.5307,0.6245
2019/5/21 8:00,468886.3471,0.5475,0.58,0.53,0.5709
2019/5/22 8:00,369645.9651,0.5097,0.5542,0.4994,0.5476
2019/5/23 8:00,307596.7266,0.5095,0.527,0.48,0.508
2019/5/24 8:00,437645.9984,0.5341,0.5688,0.49,0.5024
2019/5/25 8:00,253610.4809,0.494,0.5354,0.493,0.5271
2019/5/26 8:00,219995.1903,0.5107,0.5305,0.494,0.494
2019/5/27 8:00,283434.8266,0.5125,0.5295,0.505,0.514
2019/5/28 8:00,203516.7121,0.5111,0.5257,0.5073,0.5119
2019/5/29 8:00,196960.5742,0.503,0.5147,0.4976,0.5113
2019/5/30 8:00,456053.6263,0.4701,0.53,0.46,0.503
2019/5/31 8:00,513849.2944,0.4602,0.4885,0.425,0.47
